order_id,customer_id,product,amount,order_date,status
O00047,,Laptop Pro,2599.98,2023-01-31,complete
O00133,C0079,Smart Bulb,15.99,2025-10-26,PENDING
O00089,C0028,Headphones Pro,999.96,2024-01-29,refunded
O00231,C0026,Water Bottle,24.99,2023-10-05,done
O00095,C0054,Monitor 27in,799.98,2023-10-11,done
O00167,C0005,Monitor 27in,1599.96,27/12/2023,completed
O00290,C0059,Plant Pot,49.95,04-23-2023,done
O00234,C0051,Headphones Pro,749.97,2025-10-02,Refunded
O00269,C0012,Water Bottle,74.97,10/05/2023,CANCELLED
O00250,C0009,Power Strip,34.99,18/01/2024,complete
O00086,C0078,Standing Desk,1499.97,06-16-2023,Refunded
O00136,C0070,Pen Pack,17.97,09-16-2025,refunded
O00118,C0021,Laptop Pro,2599.98,2025-06-16,completed
O00199,C0049,Plant Pot,49.95,2023-03-22,pending
O00145,C0025,Phone Stand,99.95,14/08/2024,pending
O00233,C0077,Standing Desk,1499.97,10-18-2024,Refunded
O00224,C0049,Standing Desk,1999.96,2024-10-10,complete
O00171,C0002,Headphones Pro,749.97,01-31-2024,cancelled
O00209,C0018,Webcam HD,79.99,2023-11-06,completed
O00258,C0063,Monitor 27in,,05/03/2023,refunded
O00249,C0058,Power Strip,139.96,03-07-2025,completed
O00018,C0020,Whiteboard,59.99,09-16-2023,CANCELLED
O00058,C0055,Wireless Mouse,89.97,2024-10-01,complete
O00160,C0036,Pen Pack,5.99,16/02/2025,Complete
O00185,C0054,Phone Stand,79.96,07/07/2025,Complete
O00135,C0006,Power Strip,104.97,07/03/2024,Refunded
O00164,,Backpack,269.97,08-25-2025,pending
O00037,C0048,Notebook Set,64.95,19/02/2025,PENDING
O00014,C0054,Headphones Pro,1249.95,01/07/2024,completed
O00157,C0049,Headphones Pro,499.98,30/07/2025,CANCELLED
O00168,C0038,Wireless Mouse,29.99,09-03-2024,Refunded
O00053,C0078,Backpack,89.99,08-23-2023,PENDING
O00146,C0036,Plant Pot,49.95,2023-09-01,cancelled
O00169,C0037,Water Bottle,124.95,2025-12-09,canceled
O00197,C0072,Backpack,359.96,21/12/2025,cancelled
O00007,C0059,USB-C Hub,149.97,2024-05-31,complete
O00026,C0080,Webcam HD,319.96,21/10/2023,refunded
,,Laptop Pro,1299.99,2024-01-01,completed
O00066,C0045,Backpack,89.99,08-03-2024,PENDING
O00130,C0076,Monitor 27in,799.98,2025-06-05,CANCELLED
O00059,C0062,Webcam HD,79.99,18/12/2024,CANCELLED
O00117,C0079,Backpack,269.97,04-28-2023,pending
O00165,C0071,Monitor 27in,1599.96,09-01-2025,canceled
O00205,C0019,Laptop Pro,3899.97,2025-05-05,done
O00010,,Desk Chair,349.99,2024-05-05,Completed
O00243,C0076,Router WiFi 6,259.98,07/12/2024,completed
O00214,C0029,Pen Pack,5.99,06/03/2023,pending
O00094,C0061,Keyboard Mech,269.97,21/06/2025,canceled
O00112,C0007,Headphones Pro,749.97,12/09/2023,complete
O00148,C0006,Wireless Mouse,59.98,11-13-2024,canceled
O00279,C0057,Phone Stand,39.98,11-07-2023,Complete
O00248,C0052,Monitor 27in,799.98,2025-06-04,Complete
O00129,C0010,Water Bottle,99.96,2025-11-25,complete
O00093,C0079,Pen Pack,23.96,2024-04-24,CANCELLED
O00088,C0017,Router WiFi 6,,17/05/2025,CANCELLED
O00173,C0062,Headphones Pro,499.98,14/01/2023,done
O00286,C0034,Keyboard Mech,89.99,05-04-2023,Complete
O00080,C0079,Plant Pot,49.95,02-26-2025,canceled
O00293,C0004,Headphones Pro,999.96,2024-07-11,CANCELLED
O00002,C0006,Backpack,269.97,2024-05-27,completed
O00170,C0025,Desk Chair,1049.97,29/11/2023,Completed
O00142,C0012,Cable Pack,74.95,2025-07-25,refunded
O00015,C0075,Whiteboard,119.98,03/07/2025,CANCELLED
O00087,C0051,Standing Desk,2499.95,06-23-2023,done
O00012,C0038,Router WiFi 6,389.97,30/04/2025,canceled
O00288,C0011,Pen Pack,5.99,2025-11-13,refunded
O00190,C0058,Plant Pot,9.99,2024-05-16,Completed
O00127,C0071,Standing Desk,2499.95,26/06/2023,pending
O00268,,Router WiFi 6,389.97,25/01/2025,canceled
O00227,C0077,Headphones Pro,999.96,26/01/2023,done
O00187,C0029,Laptop Pro,1299.99,09-03-2024,canceled
O00019,C0057,Desk Chair,1749.95,07-24-2025,completed
O00113,C0050,Headphones Pro,499.98,13/10/2025,Completed
O00229,C0039,Notebook Set,51.96,2023-10-26,pending
O00296,C0066,Laptop Pro,1299.99,2023-01-26,refunded
O00222,C0058,Whiteboard,119.98,29/12/2024,CANCELLED
O00083,C0032,Water Bottle,99.96,12-09-2025,CANCELLED
O00137,C0008,Monitor 27in,1599.96,01/05/2025,canceled
O00139,C0031,Water Bottle,24.99,2024-07-01,canceled
O00090,C0013,Router WiFi 6,649.95,12-14-2025,completed
O00246,C0039,Wireless Mouse,29.99,02-16-2023,complete
O00256,C0080,Wireless Mouse,89.97,2023-01-20,canceled
O00097,C0066,Standing Desk,1999.96,07/07/2023,refunded
O00287,C0054,Backpack,359.96,06-18-2023,PENDING
O00074,C0044,Webcam HD,239.97,12-11-2023,pending
O00192,C0041,Power Strip,174.95,18/10/2024,refunded
O00124,C0012,Headphones Pro,749.97,05-13-2023,CANCELLED
O00264,C0069,Notebook Set,64.95,12-11-2023,complete
O00109,C0060,Whiteboard,119.98,10-04-2023,pending
O00255,C0023,Smart Bulb,31.98,2025-09-29,done
O00175,C0016,Water Bottle,74.97,11-24-2023,Complete
O00161,C0038,Wireless Mouse,89.97,11/06/2023,complete
O00284,C0077,USB-C Hub,249.95,25/01/2023,complete
O00021,C0043,Smart Bulb,63.96,10-10-2024,PENDING
O00030,C0051,Notebook Set,12.99,04-11-2023,Refunded
O00075,C0025,Phone Stand,59.97,2023-10-30,refunded
O00159,C0039,Pen Pack,11.98,28/09/2025,complete
O00220,C0011,Router WiFi 6,389.97,20/04/2023,pending
O00061,C0024,Notebook Set,38.97,2024-11-26,complete
O00152,C0004,Plant Pot,39.96,06-27-2024,PENDING
O00131,C0039,Monitor 27in,799.98,2024-10-22,Completed
O00100,,Pen Pack,23.96,12/10/2023,Completed
O00107,C0033,Laptop Pro,3899.97,2023-05-19,complete
O00029,C0014,Webcam HD,319.96,05/01/2025,Refunded
O00196,C0061,Webcam HD,159.98,2024-09-07,Completed
O00216,C0013,Router WiFi 6,129.99,04-15-2024,refunded
O00182,C0060,Pen Pack,5.99,2025-03-21,done
O00163,C0076,Webcam HD,159.98,04-14-2023,PENDING
O00240,C0014,Webcam HD,,12-07-2023,PENDING
O00050,C0067,Pen Pack,23.96,05/03/2023,completed
O00042,C0053,Notebook Set,12.99,28/01/2025,refunded
O00065,C0057,Backpack,359.96,24/06/2025,Complete
O00276,C0057,Laptop Pro,1299.99,04/12/2024,pending
O00149,C0066,Standing Desk,1499.97,14/10/2024,cancelled
O00140,C0050,Plant Pot,39.96,23/05/2024,cancelled
O00121,C0032,Desk Chair,349.99,01-17-2024,canceled
,,Laptop Pro,1299.99,2024-01-01,completed
O00062,C0052,USB-C Hub,99.98,03-04-2023,pending
O00046,C0019,Plant Pot,9.99,2024-07-21,cancelled
O00201,C0025,Desk Chair,1399.96,05-11-2024,Completed
O00251,C0063,Router WiFi 6,389.97,06/03/2025,Refunded
O00266,C0017,Webcam HD,159.98,10-21-2024,refunded
O00003,C0074,Power Strip,34.99,2024-07-05,Refunded
O00154,C0019,Webcam HD,79.99,2023-08-14,refunded
O00244,C0011,Desk Chair,699.98,14/12/2024,done
O00177,C0020,Water Bottle,124.95,02-04-2025,Complete
O00230,C0062,USB-C Hub,149.97,05-30-2024,refunded
O00188,C0049,Webcam HD,159.98,2025-08-01,complete
O00241,C0052,Headphones Pro,999.96,2023-08-05,completed
O00108,C0075,Headphones Pro,499.98,04-01-2023,complete
O00184,C0061,Wireless Mouse,89.97,2025-04-17,cancelled
O00099,C0029,Laptop Pro,3899.97,07-22-2023,Completed
O00275,C0012,Desk Chair,349.99,2024-03-13,canceled
O00273,C0017,Pen Pack,11.98,07-15-2024,pending
O00211,C0003,Router WiFi 6,389.97,08-10-2024,completed
O00123,C0026,Desk Chair,699.98,2023-06-01,canceled
O00282,C0078,Pen Pack,5.99,09-09-2024,refunded
O00153,C0075,Whiteboard,119.98,12-09-2025,PENDING
O00076,C0078,Standing Desk,499.99,29/12/2023,PENDING
O00063,C0059,Headphones Pro,499.98,01-27-2025,done
O00009,C0064,Water Bottle,24.99,02-21-2024,done
O00262,C0057,Desk Chair,699.98,03-05-2024,Completed
O00115,C0038,Headphones Pro,249.99,06-13-2023,complete
O00072,C0003,Headphones Pro,499.98,31/07/2025,Completed
O00071,C0041,Power Strip,139.96,04-08-2025,Completed
O00274,C0022,Wireless Mouse,119.96,09-17-2024,Completed
O00055,C0013,Headphones Pro,999.96,02/10/2024,PENDING
O00091,C0017,Plant Pot,39.96,2023-11-12,cancelled
O00194,C0023,Backpack,449.95,12/10/2025,completed
O00110,C0038,Keyboard Mech,89.99,13/02/2024,completed
O00098,C0054,Wireless Mouse,119.96,2025-10-25,complete
O00285,C0073,Backpack,,2023-12-20,canceled
O00128,C0062,Router WiFi 6,519.96,2025-04-18,Refunded
O00239,C0054,Smart Bulb,15.99,01-06-2025,Completed
O00111,C0070,Whiteboard,179.97,2023-03-16,PENDING
O00147,C0044,Smart Bulb,47.97,10-23-2023,refunded
O00271,C0063,Headphones Pro,249.99,04-05-2023,pending
O00225,C0057,Phone Stand,59.97,2023-07-29,cancelled
O00186,C0070,Standing Desk,1499.97,08-31-2023,cancelled
O00208,,Wireless Mouse,,03-11-2023,pending
O00203,C0034,Phone Stand,99.95,2025-10-15,canceled
O00085,C0043,USB-C Hub,149.97,07-13-2023,CANCELLED
O00204,C0041,Keyboard Mech,269.97,2024-10-02,Complete
O00033,C0012,Pen Pack,17.97,2025-04-30,cancelled
O00114,C0035,USB-C Hub,199.96,06-11-2023,Complete
O00289,C0009,Pen Pack,23.96,2024-05-03,completed
O00017,C0053,Wireless Mouse,89.97,26/08/2025,Completed
O00006,C0043,Backpack,359.96,13/08/2024,PENDING
O00242,C0067,Smart Bulb,79.95,28/03/2024,canceled
O00195,C0068,Headphones Pro,999.96,16/04/2025,cancelled
O00151,C0061,Laptop Pro,3899.97,2024-11-09,PENDING
O00237,C0053,Whiteboard,119.98,12/09/2024,refunded
O00022,C0070,Wireless Mouse,149.95,05-21-2023,refunded
O00166,C0042,Pen Pack,5.99,07-03-2023,PENDING
O00162,C0028,Keyboard Mech,449.95,07-09-2024,CANCELLED
O00096,C0071,Desk Chair,1749.95,2023-09-13,done
O00103,C0080,Water Bottle,24.99,08-16-2023,canceled
O00051,C0014,Whiteboard,239.96,31/05/2023,pending
O00034,C0047,Router WiFi 6,649.95,12/07/2024,cancelled
O00057,C0017,Smart Bulb,15.99,2024-11-06,PENDING
O00016,C0070,Cable Pack,59.96,10-21-2024,refunded
O00294,C0010,Whiteboard,239.96,2025-11-12,complete
O00261,C0014,Webcam HD,239.97,08/03/2023,canceled
O00036,C0051,Smart Bulb,47.97,2023-07-04,Complete
O00027,C0002,Water Bottle,74.97,20/11/2023,pending
O00221,C0078,Plant Pot,49.95,2025-03-23,complete
O00025,C0032,Router WiFi 6,519.96,2024-01-04,cancelled
O00263,C0079,Backpack,179.98,2023-10-13,refunded
O00141,C0025,Monitor 27in,1599.96,20/11/2025,canceled
O00143,C0037,Whiteboard,,08-21-2025,done
O00260,C0070,Phone Stand,99.95,27/03/2023,Completed
O00104,C0074,Webcam HD,159.98,2024-08-19,Complete
O00008,C0066,Laptop Pro,6499.95,2025-08-04,Complete
O00045,C0073,Keyboard Mech,89.99,2024-02-29,Refunded
O00265,C0066,Desk Chair,699.98,22/04/2025,completed
O00077,C0075,Water Bottle,124.95,23/10/2024,PENDING
O00174,C0043,Pen Pack,29.95,01-24-2023,done
O00292,C0034,Monitor 27in,1199.97,17/09/2023,Completed
O00132,C0037,USB-C Hub,149.97,02-07-2024,PENDING
O00102,C0055,Desk Chair,,2024-05-01,done
O00226,C0072,Router WiFi 6,519.96,2023-07-31,completed
O00064,C0077,USB-C Hub,,11-15-2023,cancelled
O00183,C0006,Backpack,269.97,2023-05-11,CANCELLED
O00217,C0006,USB-C Hub,,09/03/2023,cancelled
O00038,C0004,Plant Pot,49.95,2024-11-02,Refunded
O00247,C0032,Router WiFi 6,259.98,11-24-2023,complete
O00056,C0061,USB-C Hub,49.99,24/06/2023,pending
O00011,C0053,USB-C Hub,99.98,2023-08-21,canceled
O00155,C0053,Keyboard Mech,359.96,24/10/2025,Refunded
O00179,C0073,Desk Chair,349.99,11-01-2025,refunded
O00181,C0058,Wireless Mouse,119.96,28/09/2023,CANCELLED
O00270,C0028,Whiteboard,179.97,23/10/2024,done
O00295,C0048,Monitor 27in,1199.97,07-30-2023,Refunded
O00176,C0040,Desk Chair,1049.97,2025-01-22,Refunded
O00207,C0063,Water Bottle,49.98,2024-12-22,cancelled
O00041,C0070,Backpack,449.95,11-13-2023,Complete
O00024,C0039,Laptop Pro,1299.99,26/10/2024,completed
O00228,C0072,Webcam HD,399.95,12-03-2025,cancelled
O00219,C0050,Smart Bulb,47.97,2025-02-25,Completed
O00068,C0028,Standing Desk,,2024-08-15,complete
O00281,C0041,Standing Desk,999.98,2024-07-21,PENDING
O00079,C0005,Wireless Mouse,89.97,08-10-2024,pending
O00232,C0080,Cable Pack,44.97,20/06/2025,complete
O00283,C0051,Pen Pack,5.99,05/05/2024,canceled
O00299,C0029,Router WiFi 6,129.99,01/04/2025,pending
O00092,C0022,Water Bottle,24.99,04-21-2025,complete
O00138,C0041,Headphones Pro,749.97,27/03/2025,cancelled
O00277,C0030,Cable Pack,14.99,29/07/2023,pending
O00105,C0054,Monitor 27in,399.99,2025-12-08,complete
O00254,C0054,Plant Pot,19.98,2025-02-24,Complete
O00291,C0016,Laptop Pro,2599.98,24/01/2023,cancelled
O00245,C0062,Phone Stand,79.96,07-19-2023,canceled
O00043,C0047,Desk Chair,1049.97,04/01/2025,completed
O00236,C0004,Water Bottle,49.98,06-16-2025,done
O00040,C0064,Desk Chair,349.99,2024-04-25,CANCELLED
O00028,C0039,Backpack,269.97,2025-07-24,done
O00257,C0072,Router WiFi 6,519.96,17/04/2025,PENDING
O00198,C0011,Water Bottle,74.97,07-09-2023,CANCELLED
O00200,,Keyboard Mech,359.96,03/03/2024,complete
O00035,C0038,Headphones Pro,249.99,2025-08-17,pending
O00052,C0036,Plant Pot,49.95,10-27-2024,Complete
O00020,C0020,USB-C Hub,199.96,06-26-2024,complete
O00060,C0029,Backpack,449.95,02-23-2023,Refunded
O00070,C0046,USB-C Hub,199.96,2023-03-28,Complete
O00116,C0055,Monitor 27in,1599.96,2024-12-20,canceled
O00082,C0008,Water Bottle,24.99,2024-12-04,Completed
O00084,C0037,Cable Pack,,11-23-2024,PENDING
O00300,C0040,Headphones Pro,249.99,24/07/2025,completed
O00213,C0046,Notebook Set,51.96,11/06/2023,complete
O00180,C0067,Water Bottle,24.99,02-25-2024,Completed
O00298,C0041,Notebook Set,12.99,02-02-2025,pending
O00206,C0073,Webcam HD,319.96,22/11/2024,done
,,Laptop Pro,1299.99,2024-01-01,completed
O00081,C0006,Water Bottle,124.95,01-21-2024,complete
O00218,C0019,Cable Pack,14.99,09-04-2024,cancelled
O00134,C0022,Plant Pot,49.95,2024-11-22,Refunded
O00150,C0039,Power Strip,104.97,11-04-2025,CANCELLED
O00297,C0020,Monitor 27in,399.99,08/05/2025,refunded
O00067,C0040,Wireless Mouse,,2025-03-20,Refunded
O00223,C0049,USB-C Hub,249.95,08-27-2024,refunded
O00032,C0018,Desk Chair,349.99,2024-09-24,canceled
O00039,C0060,Pen Pack,23.96,2023-08-27,cancelled
O00202,C0031,Smart Bulb,47.97,02/08/2024,Complete
O00069,C0023,Standing Desk,1999.96,2025-12-26,Completed
O00259,C0037,Monitor 27in,1599.96,10-11-2025,CANCELLED
O00049,C0047,Router WiFi 6,649.95,08-12-2023,canceled
O00044,C0059,USB-C Hub,99.98,13/02/2023,completed
O00235,C0051,Phone Stand,19.99,02-14-2024,Refunded
O00191,C0028,Wireless Mouse,59.98,2025-10-28,done
O00212,C0023,Desk Chair,349.99,2025-12-09,cancelled
O00267,C0035,Backpack,359.96,07-14-2025,pending
O00119,C0047,Phone Stand,79.96,2023-03-08,Refunded
O00023,C0030,USB-C Hub,199.96,07-21-2023,PENDING
O00048,C0034,Wireless Mouse,59.98,2025-05-12,CANCELLED
O00144,C0018,Notebook Set,38.97,2025-04-05,complete
O00073,C0032,Backpack,449.95,2025-03-31,CANCELLED
O00031,C0037,Webcam HD,399.95,12-22-2024,refunded
O00252,C0059,Plant Pot,19.98,09-01-2024,Refunded
O00215,C0008,Laptop Pro,2599.98,19/06/2023,canceled
O00122,C0034,Notebook Set,51.96,15/03/2024,Refunded
O00272,C0016,Monitor 27in,1599.96,23/07/2025,completed
O00106,C0065,Smart Bulb,15.99,2025-03-10,canceled
O00054,C0028,Backpack,359.96,12/04/2024,Complete
O00158,C0034,Plant Pot,39.96,29/01/2024,refunded
O00193,C0067,Webcam HD,319.96,2024-09-07,done
O00001,C0060,Pen Pack,23.96,07-11-2024,CANCELLED
O00172,C0055,Router WiFi 6,389.97,06-27-2023,Complete
O00005,C0012,Whiteboard,179.97,16/04/2025,complete
O00178,C0069,Keyboard Mech,179.98,17/06/2023,CANCELLED
O00278,C0049,Standing Desk,,05-21-2023,CANCELLED
O00120,C0048,Water Bottle,24.99,09/10/2023,CANCELLED
O00013,C0050,Keyboard Mech,449.95,2025-11-06,Completed
O00210,C0080,Plant Pot,39.96,2025-09-26,completed
O00004,C0067,Water Bottle,74.97,07/01/2024,Refunded
O00078,C0057,Pen Pack,17.97,04-26-2023,complete
O00126,C0031,Whiteboard,59.99,01-09-2025,CANCELLED
O00280,C0012,Desk Chair,699.98,09-10-2023,Refunded
O00101,C0011,Laptop Pro,3899.97,03-17-2024,cancelled
O00253,C0016,Webcam HD,239.97,28/08/2023,cancelled
O00189,C0015,Wireless Mouse,119.96,2023-02-02,refunded
O00238,C0049,USB-C Hub,199.96,08/09/2025,Refunded
O00125,C0021,Monitor 27in,1199.97,2025-11-07,refunded
O00156,C0008,Standing Desk,2499.95,29/02/2024,CANCELLED
